index,index at directory,label,link,number of tokens,number of verbs,number of subjunctive and imperative verbs,number of adjectives,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,percentage of news with speeling errors,emotiveness,diversity
0,803-meta.txt,fake,https://www.diariodobrasil.org/mae-de-geddel-defende-o-filho-ele-e-doente-nao-dona-marluce-ele-e-pilantra-mesmo/,190,26,0,7,0,0,6,0.0,0.197183,0.675
1,1907-meta.txt,fake,https://www.diariodobrasil.org/a-fila-anda-angelina-jolie-engata-romance-com-johnny-depp/,116,14,0,1,0,0,10,0.00990099,0.0888889,0.693069
2,2202-meta.txt,fake,https://www.diariodobrasil.org/cvm-aponta-um-desvio-de-r-50-bilhoes-em-fundos-de-pensao/,192,22,0,8,0,0,2,0.00588235,0.123457,0.729412
3,2207-meta.txt,fake,https://www.diariodobrasil.org/rr-soares-igreja-nao-tem-que-pagar-imposto-isso-e-coisa-demoniaca-viva-eduardo-cunha/,81,14,2,5,0,3,8,0.015625,0.275862,0.8125
4,3121-meta.txt,fake,https://www.diariodobrasil.org/pf-vasculha-forro-do-instituto-lula-e-apreende-celulares-pen-drives-e-computadores/,131,17,2,5,0,0,4,0.00854701,0.145455,0.700855
5,51-meta.txt,fake,https://afolhabrasil.com.br/politica/bolsonaro-esta-na-mira-de-presidenciaveis-e-mesmo-assim-so-cresce-nas-pesquisas/,510,77,3,26,2,0,32,0.00652174,0.25,0.562363
6,2937-meta.txt,fake,https://www.diariodobrasil.org/deputado-detona-eduardo-cunha-bandido-ladrao-cachorro-deveria-estar-preso-em-curitiba/,126,21,2,6,0,0,6,0.0,0.175439,0.717172
7,3153-meta.txt,fake,https://www.diariodobrasil.org/a-saida-de-cardozo-revela-a-manobra-sabotadora-que-o-governo-queria-fazer-contra-a-pf-e-nao-conseguiu/,132,18,2,5,0,0,4,0.0,0.148148,0.708333
8,831-meta.txt,fake,https://www.diariodobrasil.org/japao-inicia-plano-de-evacuacao-de-60-mil-cidadaos-da-peninsula-coreana/,273,36,2,18,0,0,16,0.0,0.309278,0.634146
9,1748-meta.txt,fake,https://www.diariodobrasil.org/delacao-da-odebrecht-cita-os-nomes-de-jose-serra-e-michel-temer-serra-teria-recebido-r-23-milhoes-em-propina07/,254,37,0,8,0,0,7,0.0,0.147059,0.617512
10,3250-meta.txt,fake,https://www.diariodobrasil.org/dilma-faz-descoberta-cientifica-enquanto-o-mosquito-da-dengue-se-reproduzir-estamos-perdendo-a-luta/,169,30,1,5,0,0,8,0.0,0.208333,0.75
11,205-meta.txt,fake,http://www.thejornalbrasil.com.br/2017/02/apos-morte-de-marisa-lula-diz-nao-vou.html,211,40,2,9,3,0,32,0.0,0.246753,0.703704
12,2497-meta.txt,fake,https://www.diariodobrasil.org/os-petistas-estao-ricos-vaquinha-de-dilma-ultrapassa-r-725-mil-ela-vai-dobrar-a-meta/,160,27,1,6,0,0,8,0.00704225,0.235294,0.71831
13,2397-meta.txt,fake,https://www.diariodobrasil.org/a-casa-caiu-pf-comprova-que-lula-comandou-obras-no-sitio-e-usou-um-laranja-para-adquirir-o-imovel/,260,34,1,7,0,0,5,0.0,0.148515,0.602679
14,2329-meta.txt,fake,https://www.diariodobrasil.org/somente-em-2014-o-cartao-corporativo-de-dilma-sangrou-os-cofres-publicos-em-quase-r-800-milhoes/,224,27,0,22,0,0,7,0.0,0.413333,0.664865
15,1853-meta.txt,fake,https://www.diariodobrasil.org/de-acordo-com-o-artigo-330-do-cod-penal-ministro-marco-aurelio-pode-mandar-prender-renan-por-ate-15-dias23/,128,20,0,11,0,0,4,0.00892857,0.288462,0.705357
16,721-meta.txt,fake,https://www.diariodobrasil.org/associacao-mundial-de-psiquiatria-cura-gay-pode-causar-depressao-suicidio-ansiedade-e-isolamento-social/,416,49,4,37,0,0,13,0.0,0.409722,0.549296
17,2527-meta.txt,fake,https://www.diariodobrasil.org/em-video-delegado-da-pf-que-investigava-lula-confirma-que-foi-afastado-por-diretor/,135,17,0,5,0,0,8,0.0,0.127273,0.652893
18,2710-meta.txt,fake,https://www.diariodobrasil.org/dilma-nega-que-recebeu-r-12-milhoes-da-odebrecht-e-diz-que-vai-processar-a-revista-istoe/,142,25,0,8,0,0,5,0.00793651,0.241379,0.746032
19,839-meta.txt,fake,https://www.diariodobrasil.org/a-coreia-do-norte-esta-pronta-para-atacar-a-europa-adverte-a-franca/,288,39,2,13,0,1,18,0.0,0.245098,0.611336
20,2716-meta.txt,fake,https://www.diariodobrasil.org/vazamento-de-informacao-aponta-que-prisao-de-lula-esta-mais-perto-do-que-se-pensava/,231,36,0,8,0,0,9,0.00456621,0.102804,0.675799
21,1859-meta.txt,fake,https://www.diariodobrasil.org/renan-esta-no-senado-trabalhando-normalmente-ele-esta-pouco-se-lixando-para-o-julgamento-do-stf/,88,17,1,2,0,0,4,0.0,0.263158,0.723684
22,2596-meta.txt,fake,https://www.diariodobrasil.org/renan-calheiros-rebate-jornalista-que-publicou-nota-quem-recebeu-ilegalmente-durante-6-anos-foi-ele/,101,12,0,5,0,0,6,0.0,0.297297,0.752941
23,3241-meta.txt,fake,https://www.diariodobrasil.org/acao-no-tse-oficial-de-justica-notifica-temer-dilma-escapou-mas-so-por-hoje/,85,13,0,1,0,0,4,0.0,0.235294,0.780822
24,2833-meta.txt,fake,https://www.diariodobrasil.org/denuncia-antes-de-anular-votacao-maranhao-teria-se-encontrado-com-assessor-de-lewandowski/,127,14,0,5,0,0,5,0.0,0.204082,0.698113
25,640-meta.txt,fake,https://www.diariodobrasil.org/juliana-paes-e-novamente-hostilizada-nas-ruas/,251,34,1,8,0,1,13,0.0,0.166667,0.696262
26,2223-meta.txt,fake,https://www.diariodobrasil.org/souvenir-que-temer-comprou-na-china-nao-funciona-ao-inves-de-au-au-cachorrinho-rosna-e-diz-golpe-golpe/,134,21,0,4,0,0,4,0.00862069,0.142857,0.698276
27,974-meta.txt,fake,https://www.diariodobrasil.org/motociclista-mais-sexy-do-mundo-morre-apos-tentar-tirar-selfie-a-mais-de-200-kmh/,162,20,0,9,0,0,7,0.0136986,0.327869,0.657534
28,667-meta.txt,fake,https://www.diariodobrasil.org/bonner-e-namorada-usam-gol-gts-para-dar-um-rolezinho-no-rj/,308,34,1,13,0,0,12,0.00760456,0.178862,0.65019
29,1791-meta.txt,fake,https://www.diariodobrasil.org/lei-da-mordaca-militares-se-rebelam-contra-temer-e-sao-repreendidos-pelo-alto-comando/,503,76,4,26,0,0,25,0.0,0.206897,0.575758
30,3032-meta.txt,fake,https://www.diariodobrasil.org/correu-porque-pf-da-busca-em-hotel-de-brasilia-lula-nao-era-alvo-e-mesmo-assim-saiu-correndo/,183,20,0,8,0,0,3,0.0,0.236111,0.62963
31,206-meta.txt,fake,http://www.thejornalbrasil.com.br/2017/02/china-sugere-ao-brasil-lei-que-da-pena.html,200,27,1,8,0,0,15,0.0,0.232877,0.650273
32,2656-meta.txt,fake,https://www.diariodobrasil.org/petrobras-anuncia-fim-do-controle-do-governo-gasolina-tera-preco-fixado-pela-propria-estatal/,198,25,0,5,0,0,11,0.0,0.146341,0.706587
33,846-meta.txt,fake,https://www.diariodobrasil.org/nos-avisamos-ate-a-folha-pediu-desculpas-joesley-poupou-lula-e-o-pt-em-suas-delacoes/,549,83,4,21,0,1,26,0.0,0.191111,0.570825
34,2971-meta.txt,fake,https://www.diariodobrasil.org/impeachment-senado-confirma-que-seguira-decisao-da-camara-dilma-tem-90-de-chances-de-cair/,299,52,5,8,0,0,10,0.0,0.155039,0.60223
35,3446-meta.txt,fake,https://www.diariodobrasil.org/ceni-renuncia-de-dilma-faria-o-brasil-tomar-novos-rumos-e-recuperar-13-anos-de-politica-jogados-no-lixo/,215,35,2,12,0,0,13,0.0,0.22093,0.627778
36,1784-meta.txt,fake,https://www.diariodobrasil.org/10-previsoes-de-carlinhos-anitta-gravida-neymar-fora-da-copa-alvaro-dias-presidente/,194,24,0,15,0,0,4,0.0,0.2625,0.683616
37,1936-meta.txt,fake,https://www.diariodobrasil.org/no-rio-grande-do-sul-motoboy-vive-dia-de-heroi-e-salva-gatinho-preso-no-3o-andar-de-um-predio/,167,35,1,2,3,0,9,0.0202703,0.0933333,0.709459
38,1509-meta.txt,fake,https://www.diariodobrasil.org/daniela-mercury-interrompe-som-de-trio-eletrico-faz-gestos-obscenos-e-xinga-a-policia-de-salvador/,139,16,1,8,0,0,3,0.0,0.24,0.719298
39,3467-meta.txt,fake,https://www.diariodobrasil.org/dolar-a-r-500-revista-forbes-diz-que-brasil-esta-refem-de-juros-americanos-e-dolar-pode-explodir/,254,37,4,13,1,0,8,0.0045045,0.235294,0.630631
40,1995-meta.txt,fake,https://www.diariodobrasil.org/lula-em-seu-habitat-natural-ex-presidente-se-junta-a-alunos-que-nao-gostam-de-estudar/,130,22,1,6,0,0,13,0.0,0.255319,0.761468
41,3327-meta.txt,fake,https://www.diariodobrasil.org/cearense-com-131-anos-pode-ser-o-homem-mais-velho-do-mundo-2/,268,35,2,12,0,0,9,0.0,0.235294,0.644068
42,430-meta.txt,fake,https://www.diariodobrasil.org/o-chip-da-besta-onu-e-nova-ordem-mundial-querem-implantar-chips-nos-seres-humanos/,568,94,6,30,0,0,44,0.00426439,0.275362,0.58209
43,904-meta.txt,fake,https://www.diariodobrasil.org/demissao-em-massa-globo-perde-mais-2-de-seus-principais-diretores/,201,24,0,7,0,0,12,0.0060241,0.256757,0.722892
44,208-meta.txt,fake,http://www.thejornalbrasil.com.br/2017/02/eduardo-cunha-ameaca-revelar-documentos.html,220,45,3,11,1,0,23,0.0,0.287356,0.659898
45,2868-meta.txt,fake,https://www.diariodobrasil.org/delcidio-corre-o-risco-de-cair-nas-maos-de-sergio-moro-e-avisa-se-eu-for-lula-vai-junto/,138,17,4,3,2,0,4,0.00840336,0.181818,0.714286
46,2383-meta.txt,fake,https://www.diariodobrasil.org/o-ogro-do-senado-destemperado-lindbergh-da-show-de-machismo-durante-comissao-do-impeachmentogro/,129,14,1,6,0,0,4,0.0,0.153846,0.72381
47,683-meta.txt,fake,https://www.diariodobrasil.org/folha-de-sp-puxadinho-do-pt-recebeu-r-225-milhoes-durante-gestoes-petistas/,175,16,3,6,0,0,7,0.00689655,0.183333,0.696552
48,648-meta.txt,fake,https://www.diariodobrasil.org/apos-sucesso-de-pablo-escobar-e-el-chapo-netflix-aposta-todas-as-fichas-em-lula6/,274,33,0,6,0,0,10,0.00847458,0.12963,0.618644
